"asc_integrated_commuteleisure","asc_integrated_business","asc_multiple_commuteleisure","asc_multiple_business","b_tt","b_experience","b_data_anon","b_data_realtime","logLike"
0,0,0,0,0,0,0,0,-329.938057946535
0.113451661230218,-0.0368104232628568,-0.113451661230218,0.0368104232628568,-0.0121286087228698,-0.0714575240481287,0.253835938494259,-0.0293120105637215,-277.299514351213
0.0744955871171891,-0.25160827268746,-0.0744955871171882,0.25160827268746,-0.0451031279313052,-0.144463351826963,0.574899696506232,-0.333208100184902,-249.291718956628
-0.180097589152738,-0.291666854348613,0.180097589152657,0.291666854348691,-0.0756197092194346,-0.371139504063747,0.411215536042173,-0.664614041086084,-242.446086824178
-0.213946776328404,-0.312379382256843,0.213946776367537,0.312379382242811,-0.0817779497474929,-0.406963184994806,0.398178656488643,-0.712779244537751,-242.266550674511
-0.214852756913172,-0.311772590221288,0.214852756049575,0.311772621246456,-0.0818663089148306,-0.409437831628317,0.397519007502719,-0.713859937864317,-242.266318440154
-0.289881684747325,-0.612748233000468,0.717301798322203,0.0110800536621264,-0.0818629784343847,-0.409340572201581,0.975182366326769,-0.136050899703587,-242.26631743736
-0.268139164485415,-0.363977542246816,1.17063696581707,0.259830356764271,-0.0818634404426301,-0.409355906681558,1.40675514994139,0.295510509353229,-242.2663174268
-0.268139164485415,-0.363977542246816,1.17063696581707,0.259830356764271,-0.0818634404426301,-0.409355906681558,1.40675514994139,0.295510509353229,-242.2663174268
-0.45666560051128,-0.352895047981875,0.838643634107262,0.270912996648573,-0.0818634376603266,-0.409355943626133,1.26328839368105,0.152043552246501,-242.266317426799
